,mV
2276,1828
2277,1813
2278,1799
2279,1782
2280,1774
2281,1770
2282,1770
2283,1773
2284,1778
2285,1791
2286,1805
2287,1814
2288,1824
2289,1823
2290,1825
2291,1827
2292,1824
2293,1817
2294,1812
2295,1806
2296,1794
2297,1820
2298,1831
2299,1842
2300,1845
2301,
2302,1847
2303,1841
2304,1839
2305,1830
2306,1823
2307,1819
2308,1807
2309,1795
2310,1796
2311,1797
2312,1802
2313,1808
2314,1813
2315,1822
2316,1833
2317,1838
2318,1840
2319,1838
2320,1834
2321,1830
2322,1826
2323,1817
2324,1808
2325,1795
2326,1783
2327,1787
2328,1793
2329,1803
2330,1811
2331,1826
2332,1843
2333,1854
2334,1863
2335,1867
2336,1866
2337,1860
2338,1857
2339,1847
2340,1838
2341,1821
2342,1808
2343,1794
2344,1787
2345,1793
2346,1792
2347,1796
2348,1796
2349,1802
2350,1815
2351,1827
2352,1827
2353,1831
2354,1836
2355,1840
2356,1829
2357,1819
2358,1807
2359,1808
2360,1808
2361,1808
2362,1811
2363,1815
2364,1823
2365,1834
2366,1846
2367,1852
2368,1853
2369,1864
2370,1853
2371,1857
2372,1855
2373,1853
2374,1845
2375,1844
2376,1847
2377,1857
2378,1862
2379,1872
2380,1877
2381,1887
2382,1903
2383,1909
2384,1920
2385,1924
2386,1933
2387,1938
2388,1939
2389,1951
2390,1951
2391,1951
2392,1959
2393,1969
2394,1979
2395,1987
2396,1997
2397,2000
2398,2010
2399,2012
2400,2007
2401,1997
2402,1983
2403,1971
2404,1964
2405,1953
2406,1939
2407,1934
2408,1925
2409,1928
2410,1934
2411,1943
2412,1954
2413,1966
2414,1983
2415,1995
2416,2010
2417,2007
2418,2010
2419,2007
2420,2000
2421,1994
2422,1984
2423,1959
2424,1936
2425,1919
2426,1904
2427,1904
2428,1895
2429,1897
2430,1902
2431,1910
2432,1920
2433,1922
2434,1922
2435,1922
2436,1917
2437,1910
2438,1903
2439,1894
2440,1879
2441,1869
2442,1863
2443,1853
2444,1849
2445,1845
2446,1844
2447,1851
2448,1845
2449,
2450,1853
2451,1849
2452,1847
2453,1840
2454,1830
2455,1825
2456,1821
2457,1811
2458,1809
2459,1799
2460,1797
2461,1806
2462,1806
2463,1818
2464,1817
2465,1826
2466,1840
2467,1849
2468,1853
2469,1856
2470,1854
2471,1850
2472,1843
2473,1831
2474,1819
2475,1803
2476,1794
2477,1792
2478,1799
2479,1802
2480,1809
2481,1819
2482,1834
2483,1845
2484,1851
2485,1859
2486,1859
2487,1857
2488,1858
2489,1849
2490,1846
2491,1835
2492,1823
2493,1819
2494,1808
2495,1815
2496,1820
2497,1829
2498,1879
2499,1876
2500,1872
2501,1870
2502,1859
2503,1856
2504,1851
