,mV
2145,1766
2146,1754
2147,1751
2148,1753
2149,1759
2150,1771
2151,1779
2152,1801
2153,1819
2154,1825
2155,1831
2156,1834
2157,1837
2158,1829
2159,1821
2160,1805
2161,1786
2162,1772
2163,1754
2164,1744
2165,1744
2166,1743
2167,1744
2168,1751
2169,1766
2170,1776
2171,1771
2172,1765
2173,1757
2174,1744
2175,1726
2176,1703
2177,1678
2178,1655
2179,1639
2180,1626
2181,1622
2182,1622
2183,1622
2184,1623
2185,1635
2186,1648
2187,1648
2188,1645
2189,1633
2190,1623
2191,1606
2192,1595
2193,1574
2194,1549
2195,1527
2196,1517
2197,1514
2198,1510
2199,1513
2200,1519
2201,1522
2202,1546
2203,1555
2204,1566
2205,1568
2206,1568
2207,1561
2208,1552
2209,1535
2210,1519
2211,1492
2212,1478
2213,1471
2214,1471
2215,1479
2216,1487
2217,1499
2218,1518
2219,1535
2220,1552
2221,1552
2222,1552
2223,1547
2224,1531
2225,1517
2226,1499
2227,1475
2228,1456
2229,1441
2230,1433
2231,1431
2232,1438
2233,1446
2234,1461
2235,1481
2236,1507
2237,1514
2238,1514
2239,1511
2240,1502
2241,1488
2242,1483
2243,1471
2244,1454
2245,1443
2246,1435
2247,1437
2248,1441
2249,1450
2250,1458
2251,1472
2252,1497
2253,1520
2254,1529
2255,1535
2256,1535
2257,1535
2258,1523
2259,1512
2260,1489
2261,1463
2262,1447
2263,1440
2264,1439
2265,1454
2266,1463
2267,1479
2268,1556
2269,1563
2270,1568
2271,1584
2272,1597
2273,1617
2274,1639
2275,1647
2276,1648
2277,1642
2278,1636
2279,1627
2280,1613
2281,1599
2282,1580
2283,1574
2284,1581
2285,1586
2286,1600
2287,1613
2288,1625
2289,1648
2290,1667
2291,1683
2292,1686
2293,1685
2294,1678
2295,1666
2296,1650
2297,1632
2298,1609
2299,1587
2300,1575
2301,1574
2302,1581
2303,1600
2304,1616
2305,1643
2306,1671
2307,1693
2308,1699
2309,1703
2310,1697
2311,1691
2312,1680
2313,1666
2314,1655
2315,1639
2316,1630
2317,1633
2318,1639
2319,1647
2320,1663
2321,1681
2322,1698
2323,1727
2324,1744
2325,1746
2326,1744
2327,1738
2328,1725
2329,1710
2330,1694
2331,1669
2332,1646
2333,1629
2334,1622
2335,1625
2336,1632
2337,1646
2338,1655
2339,1675
2340,1695
2341,1712
2342,1718
2343,1722
2344,1719
2345,1716
2346,1716
2347,1710
2348,1687
2349,1679
2350,1669
2351,1670
2352,1670
2353,1677
2354,1685
2355,1695
2356,1712
2357,1728
2358,1730
2359,1728
2360,1722
2361,1713
2362,1702
2363,1690
2364,1676
2365,1655
2366,1647
2367,1647
2368,1648
2369,1653
2370,1670
2371,1687
2372,1709
2373,1736
2374,1758
2375,1765
2376,1775
2377,1765
2378,1757
2379,1743
2380,1723
2381,1700
2382,1674
2383,1658
2384,1649
2385,1653
2386,1665
2387,1679
2388,1693
2389,1712
2390,1735
2391,1749
2392,1751
2393,1750
2394,1747
2395,1743
2396,1732
2397,1722
2398,1705
2399,1687
2400,1681
2401,1680
2402,1681
2403,1690
2404,1699
2405,1711
2406,1728
2407,1744
2408,1749
2409,1743
2410,1731
2411,1713
2412,1695
2413,1676
2414,1652
2415,1629
2416,1618
2417,1617
2418,1630
2419,1648
2420,1678
2421,1709
2422,1737
2423,1770
2424,1792
2425,1799
2426,1803
2427,1793
2428,1784
2429,1767
2430,1745
2431,1719
2432,1694
2433,1671
2434,1663
2435,1664
2436,1663
2437,1671
2438,1680
2439,1703
2440,1719
2441,1742
2442,1746
2443,1748
2444,1746
2445,1742
2446,1728
2447,1716
2448,1698
2449,1683
2450,1681
2451,1689
2452,1697
2453,1713
2454,1730
2455,1746
2456,1775
2457,1793
2458,1807
2459,1807
2460,1804
2461,1800
2462,1787
2463,1773
2464,1750
2465,1726
2466,1711
2467,1697
2468,1697
2469,1699
2470,1712
2471,1725
2472,1741
2473,1766
2474,1781
2475,1789
2476,1783
2477,1776
2478,1762
2479,1748
2480,1732
2481,1716
2482,1695
2483,1686
2484,1689
2485,1703
2486,1722
2487,1743
2488,1757
2489,1777
2490,1808
2491,1825
2492,1831
2493,1836
2494,1833
2495,1826
